sustancia,e_number,doi,titulo,archivo_destino,descargado
Magnesium chloride; Calcium chloride; Hydrochloric acid; Potassium chloride,E507; E508; E509; E511,10.2903/j.efsa.2019.5751,"Re-evaluation of hydrochloric acid (E 507), potassium chloride (E 508), calcium chloride (E 509) and magnesium chloride (E 511) as food additives",E507-E508-E509-E511_10.2903_j.efsa.2019.5751.pdf,
Karaya gum,E416,10.2903/j.efsa.2016.4598,Re-evaluation of karaya gum (E 416) as a food additive,E416_10.2903_j.efsa.2016.4598.pdf,
Konjac gum; Konjac glucomannan,E425,10.2903/j.efsa.2017.4864,Re-evaluation of konjac gum (E 425 i) and konjac glucomannan (E 425 ii) as food additives,E425_10.2903_j.efsa.2017.4864.pdf,
Lecithins,E322,10.2903/j.efsa.2017.4742,Re-evaluation of lecithins (E 322) as a food additive,E322_10.2903_j.efsa.2017.4742.pdf,
Locust bean gum,E410,10.2903/j.efsa.2017.4646,Re-evaluation of locust bean gum (E 410) as a food additive,E410_10.2903_j.efsa.2017.4646.pdf,
Locust bean gum,E410,10.2903/j.efsa.2023.7775,Re-evaluation of locust bean gum (E 410) as a food additive in foods for infants below 16 weeks of age and follow-up of its re-evaluation as a food additive for uses in foods for all population groups,E410_10.2903_j.efsa.2023.7775.pdf,
Metatartaric acid,E353,10.2903/j.efsa.2020.6031,Re-evaluation of metatartaric acid (E 353) as a food additive,E353_10.2903_j.efsa.2020.6031.pdf,
Mono-and diglycerides of fatty acids,E471,10.2903/j.efsa.2017.5045,Re-evaluation of mono- and di-glycerides of fatty acids (E 471) as food additives,E471_10.2903_j.efsa.2017.5045.pdf,
Hydrogenated poly-1-decene,E907,10.2903/j.efsa.2020.6034,Re-evaluation of name of hydrogenated poly-1-decene (E 907) as food additive,E907_10.2903_j.efsa.2020.6034.pdf,
Neohesperidine DC,E959,10.2903/j.efsa.2022.7595,Re-evaluation of neohesperidine dihydrochalcone (E 959) as a food additive,E959_10.2903_j.efsa.2022.7595.pdf,
Neotame,E961,10.2903/j.efsa.2025.9480,Re-evaluation of neotame (E 961) as food additive,E961_10.2903_j.efsa.2025.9480.pdf,
Oxidised soya bean oil interacted with mono- and diglycerides of fatty acids (E 479b),E479B,10.2903/j.efsa.2018.5420,Re-evaluation of oxidised soya bean oil interacted with mono- and diglycerides of fatty acids (E 479b) as a food additive,E479B_10.2903_j.efsa.2018.5420.pdf,
Pectin; Amidated pectin,E440I; E440II,10.2903/j.efsa.2017.4866,Re-evaluation of pectin (E 440i) and amidated pectin (E 440ii) as food additives,E440I-E440II_10.2903_j.efsa.2017.4866.pdf,
"Phosphoric acid-phosphates - di-, tri- and polyphosphates (E 338–341, E 343, E 450–452)",E338; E343; E450,10.2903/j.efsa.2019.5674,"Re-evaluation of phosphoric acid-phosphates - di-, tri- and polyphosphates (E 338-341, E 343, E 450-452) as food additives and the safety of proposed extension of use",E338-E343-E450_10.2903_j.efsa.2019.5674.pdf,
Polyglycerol polyricinoleate,E476,10.2903/j.efsa.2017.4743,Re-evaluation of polyglycerol polyricinoleate (E 476) as a food additive,E476_10.2903_j.efsa.2017.4743.pdf,
Polyvinylpyrrolidone; Polyvinylpolypyrrolidone,E1201; E1202,10.2903/j.efsa.2020.6215,Re-evaluation of polyvinylpyrrolidone (E 1201) and polyvinylpolypyrrolidone (E 1202) as food additives and extension of use of polyvinylpyrrolidone (E 1201),E1201-E1202_10.2903_j.efsa.2020.6215.pdf,
N-nitrosodibenzylamine; N-nitrosopyrrolidine; N-nitroso-di-n-propylamine; N-nitrosohydroxyproline; N-nitrosodiethylamine; Sodium nitrite; N-nitrosodimethylamine; N-nitrosoproline; N-Nitroso-thiazolidine-4-carboxylic acid; N-nitrososarcosine; N-nitrosomorpholine; N-nitrosomethylethylamine; Nitrites; N-nitrosomethylaniline; N-nitrosodibutylamine; N-nitrosopiperidine; N-Nitroso-2-methyl-thiazolidine 4-carboxylic acid; N-nitroso-2-hydroxymethylthiazolidine-4-carboxylic acid; N-nitrosodiisobutylamine; Potassium nitrite,E249; E250,10.2903/j.efsa.2017.4786,Re-evaluation of potassium nitrite (E 249) and sodium nitrite (E 250) as food additives,E249-E250_10.2903_j.efsa.2017.4786.pdf,
"Propane-1,2-diol",E1520,10.2903/j.efsa.2018.5235,"Re-evaluation of propane-1,2-diol (E 1520) as a food additive",E1520_10.2903_j.efsa.2018.5235.pdf,
"Alginic acid; Propane-1,2-diol; Propane-1, 2-diol alginate",E405,10.2903/j.efsa.2018.5371,"Re-evaluation of propane-1,2-diol alginate (E 405) as a food additive",E405_10.2903_j.efsa.2018.5371.pdf,
"Propane-1,2-diol esters of fatty acids",E477,10.2903/j.efsa.2018.5497,"Re-evaluation of propane-1,2-diol esters of fatty acids (E 477) as a food additive",E477_10.2903_j.efsa.2018.5497.pdf,
Pullulan,E1204,10.2903/j.efsa.2025.9267,Re-evaluation of pullulan (E 1204) as a food additive and new application for its extension of use,E1204_10.2903_j.efsa.2025.9267.pdf,
Saccharin; Calcium saccharin; Potassium saccharin; Sodium saccharin,E954,10.2903/j.efsa.2024.9044,"Re-evaluation of saccharin and its sodium, potassium andcalcium salts (E 954) as food additives",E954_10.2903_j.efsa.2024.9044.pdf,
(ver título),E904,10.2903/j.efsa.2024.8897,Re-evaluation of shellac (E 904) as a food additive and a new application on the extension of use of shellac (E 904) in dietary foods for special medical purposes,E904_10.2903_j.efsa.2024.8897.pdf,
Silicon dioxide,E551,10.2903/j.efsa.2018.5088,Re-evaluation of silicon dioxide (E 551) as a food additive,E551_10.2903_j.efsa.2018.5088.pdf,
Silicon dioxide,E551,10.2903/j.efsa.2024.8880,Re-evaluation of silicon dioxide (E 551) as a food additive in foods for infants below 16 weeks of age and follow-up of its re-evaluation as a food additive for uses in foods for all population groups,E551_10.2903_j.efsa.2024.8880.pdf,
